selection_manual_fix,weighted_votes
Blowup,1
Blue Black Permanent,1
Blue Collar,1
Bo Burnham: Inside,1
Body Double,1
Boogie Nights,1
Booksmart,1
Boudu Sauvé Des Eaux,1
Boyz N The Hood,1
Bride Of Frankenstein,1
Brokeback Mountain,1
Bronco Bullfrog,1
Buffalo '66,1
Burnham Beeches,1
By Hook Or By Crook,1
By The Bluest Of Seas,1
C'eravamo Tanto Amati,1
Campanadas A Medianoche,1
Candyman,1
Cannibal Holocaust,1
Capernaum,1
Caravaggio,1
Carlito's Way,1
Carmen,1
Carrie: 1976,1
Casting Blossoms To The Sky,1
Cathy Come Home,1
Cet Obscur Objet Du Désir,1
Chaplin,1
Charade,1
Chez Jolie Coiffure,1
Chocolat,1
Christiane F. Wir Kinder Vom Bahnhof Zoo,1
Christmas On Earth,1
Cinema Paradiso,1
City Girl,1
Cleopatra,1
Close Encounters Of The Third Kind,1
Closeness,1
Club Havana,1
Clueless,1
Coach Carter,1
Cocktail,1
Cocorico Monsieur Poulet,1
Colectiv,1
Color Series,1
Common Ground,1
Comrades,1
Contrast City,1
Copie Conforme,1
Cops,1
Cosas De Mujeres,1
County Hospital,1
Court,1
Cremaster 1,1
Cría Cuervos,1
Cries And Whispers,1
Cruising,1
Crumb,1
Cry Macho,1
Crystal Gazing,1
Ctrl,1
Cure,1
Czlowiek Z Marmuru,1
Dad's Dead,1
Dal Polo All'equatore,1
"Dance, Girl, Dance",1
Dances With Wolves,1
Dangerous Liaisons,1
Darling,1
Das Experiment,1
Dayereh,1
Dazed And Confused,1
De Battre Mon Coeur S'est Arrêté,1
De Rouille Et D'os,1
Dead Pigs,1
Death Becomes Her,1
Death In Venice,1
Death Of A Nation  The Timor Conspiracy,1
Decline Of Western Civilization,1
Dekalog,1
Démanty Noci,1
Demonlover,1
Denen Ni Shisu (Pastoral Hide-And-Seek),1
Der Fan,1
Der Siebente Kontinent,1
Desert Hearts,1
Desperately Seeking Susan,1
Deus E O Diabo Na Terra Do Sol,1
Devdas,1
Di Jiu Tian Chang,1
Diary 1973-1983,1
Diary Of A Pregnant Woman,1
