selection_manual_fix,weighted_votes
"Il Mostro È In Tavola, Barone... Frankenstein  Carne Per Frankenstein",0.5
L'enfant Secret,0.5
La Gueule Ouverte,0.5
La Maschera Del Demonio,0.5
La Rue Cases-Nègres,0.5
Le Départ,0.5
Le Vergine Di Norimberga,0.5
Les Amants Du Pont-Neuf,0.5
Letters From Panduranga,0.5
Love Hotel,0.5
Lumière! L'aventure Commence,0.5
Million Dollar Baby,0.5
Moonfleet,0.5
My Darling Clementine,0.5
Nervous Translation,0.5
Netemo Sametemo,0.5
Nihon No Yoru To Kiri,0.5
Nosferatu,0.5
Nuit Et Jour,0.5
Ohayo,0.5
Only Yesterday: 1991,0.5
Outrage,0.5
Oyu-Sama,0.5
Point Break,0.5
Pom Poko,0.5
Porco Rosso,0.5
Ratcatcher,0.5
Tampopo,0.5
The General,0.5
The Peanut Butter Falcon,0.5
The Seventh Seal,0.5
The Shawshank Redemption,0.5
The Silence Of The Lambs,0.5
The Story Of The Kelly Gang,0.5
The Sun Shines Bright,0.5
The Wicker Man,0.5
Tongpan,0.5
Two Meetings And A Funeral,0.5
Whale Rider,0.5
Wong Fei-Hung,0.5
Yeelen,0.5
