selection_manual_fix,weighted_votes
De Stilte Rond Christine M.,3
Dead Ringers,3
Decasia,3
Der Tiger Von Eschnapur,3
Desert Hearts,3
Desperately Seeking Susan,3
Die Klavierspielerin,3
Die Sehnsucht Der Veronika Voss,3
Die Zweite Heimat,3
Dil Se..,3
Dillinger È Morto,3
Dong,3
Dracula,3
Dupe Od Mramora,3
Dvadtsat Dnei Bez Voini,3
Dyketactics,3
East Of Eden,3
El Verdugo,3
Eniaios,3
Ensayo De Un Crimen,3
Enter The Void,3
Far From Heaven,3
Fat City,3
Femmes Femmes,3
Five Year Diary,3
For A Few Dollars More,3
Force Of Evil,3
Francisca,3
Free Radicals,3
Glen Or Glenda,3
Gloria: 1980,3
Gold Diggers Of 1933,3
Gone Girl,3
Gravity,3
Halloween,3
Heimat: A Chronicle Of Germany,3
Heliu,3
Hellraiser,3
Hellzapoppin',3
Heremias,3
"Hitler, A Film From Germany",3
Hitori Musuko,3
Howl's Moving Castle,3
Il Grande Silenzio,3
Il Grido,3
Il Sorpasso,3
Images Of The World And The Inscription Of War,3
Inazuma,3
Indiana Jones And The Last Crusade,3
Inside Out,3
Interstellar,3
Irréversible,3
It's Always Fair Weather,3
Juan Moreira,3
Kahdeksan Surmanluotia,3
Kaidan,3
Kanzashi,3
Ke Tu Chiu Hen,3
Krótki Film O Zabijaniu,3
Kynodontas,3
L' Amour Fou,3
L' Enfance Nue,3
L' Inconnu Du Lac,3
La Belle Noiseuse,3
La Chute De La Maison Usher,3
La Coquille Et Le Clergyman,3
La Maison Des Bois,3
La Planète Sauvage,3
La Souriante Madame Beudet,3
Lady Windermere's Fan,3
Land Of Silence And Darkness,3
Laura,3
Lazzaro Felice,3
Le Cercle Rouge,3
Le Livre D'image,3
Le Plaisir,3
Le Pont Du Nord,3
Le Rouge Aux Lèvres,3
Les Trois Couronnes Du Matelot,3
Les Vacances De M. Hulot,3
Les Yeux Ne Veulent Pas En Tout Temps Se Fermer Ou Peut-Être Qu' Un Jour Rome Se Permettra De Choisir À Son Tour,3
Les Yeux Sans Visage,3
Louisiana Story,3
Lucia,3
Lucky Star,3
Mamma Roma,3
Memoria,3
Mes Petites Amoureuses,3
Midareru,3
Midnight,3
Miller's Crossing,3
Monty Python's Life Of Brian,3
Moonfleet,3
Mughal-E-Azam,3
My Childhood,3
Na Srebrnym Globie,3
Night Mail,3
Night On Earth,3
Ninotchka,3
Nosferatu  Phantom Der Nacht,3
Notebook,3
Nouvelle Vague,3
Nowhere,3
O Fantasma,3
O Lucky Man!,3
O Necem Jinem,3
Obrazy Stareho Sveta,3
Odd Man Out,3
Old Joy,3
On Connaît La Chanson,3
On Dangerous Ground,3
One Flew Over The Cuckoo's Nest,3
Onibaba,3
Ossessione,3
Other Men's Women,3
Outer Space,3
Ovoce Stromu Rajskych Jime,3
Paddington,3
Paths Of Glory,3
Perfect Blue,3
Petulia,3
Plácido,3
Poznavaya Belyi Svet,3
Prénom Carmen,3
"Quo Vadis, Aida?",3
Red Road,3
Rekopis Znaleziony W Saragossie,3
Robocop,3
Rocks,3
Rocky,3
Rudao Longhu Bang,3
Ryan's Daughter,3
San Xia Hao Ren,3
Sånger Från Andra Våningen,3
Saute Ma Ville,3
Scream,3
Set It Off,3
Shadow Of A Doubt,3
Shane,3
Shi Jie,3
"Sho O Suteyo, Machi E Deyo (Throw Away Your Books, Let's Go Into The Streets)",3
Sicilia!,3
Skazka Skazok,3
Son Nom De Venise Dans Calcutta Desert,3
Son Of Saul,3
Sorcerer,3
Sorry To Bother You,3
Spalovac Mrtvol,3
Stellet Licht,3
Stories We Tell,3
Tabu,3
The Asphalt Jungle,3
The Babadook,3
The Bigamist,3
The Blood Of Jesus,3
The Bridges Of Madison County,3
The Clock: 1945,3
The Dead,3
The Docks Of New York,3
The English Patient,3
The Fly,3
The Fountainhead,3
The Grand Budapest Hotel,3
The Hitch-Hiker,3
The Hurt Locker,3
The Lives Of Others,3
The Lord Of The Rings  The Return Of The King,3
The Naked Kiss,3
The Party,3
The Pianist,3
The Purple Rose Of Cairo,3
The Rider,3
The River: 1929,3
The Seventh Victim,3
The Social Network,3
The Sorrow And The Pity,3
The Souvenir,3
The Student Prince In Old Heidelberg,3
The Tale Of The Princess Kaguya,3
The Tales Of Hoffmann,3
The Text Of Light,3
The Thin Blue Line,3
The Women,3
There's Always Tomorrow,3
They Were Expendable,3
"This Is Not A Burial, It's A Resurrection",3
Toni,3
Tout Va Bien,3
Ukigumo,3
Un Prophète,3
Una Giornata Particolare,3
Una Vita Difficile,3
Valerie A Tyden Divu,3
Van Gogh,3
Videograms Of A Revolution,3
Volver,3
Wayne's World,3
Weekend,3
When The Wind Blows,3
Withnail & I,3
Wu Jian Dao,3
Y Tu Mamá También,3
Yanzhi Kou,3
Zuihaode Shiguang,3
回路,3
...All The Marbles,2
...E Tu Vivrai Nel Terrore! L'aldila,2
12 Angry Men,2
13 Lakes,2
2046,2
36 Chowringhee Lane,2
A Girl At My Door,2
A Grin Without A Cat,2
A Ilha Dos Amores,2
A King In New York,2
A Man Vanishes,2
A Movie,2
A Pigeon Sat On A Branch Reflecting On Existence,2
A Serious Man,2
A Sixth Part Of The World,2
A Streetcar Named Desire,2
A Time To Love And A Time To Die,2
Adieu Philippine,2
Afrique 50,2
Agarrando Pueblo,2
Agarrando Pueblo (The Vampires Of Poverty),2
Airplane!,2
Akasen Chitai,2
Akira Kurosawa's Dreams,2
Al Makhdou-Oun,2
Alice,2
Alice Doesn't Live Here Anymore,2
Alice In Den Städten,2
Almost Famous,2
Always For Pleasure,2
America,2
Amistad,2
Amma Ariyan,2
Amores Perros,2
Appropriate Behavior,2
Appunti Per Un'orestiade Africana,2
Aranyer Din Ratri,2
Arnulf Rainer,2
At Sea,2
Atanarjuat: The Fast Runner,2
Avanti!,2
Baby's Breakfast,2
Babylon,2
Bad Timing,2
Bamako,2
Banditi A Orgosolo,2
Barres,2
Basic Instinct,2
Bastards,2
Beats Per Minute,2
Being John Malkovich,2
Belovy,2
Beoning,2
Beshkempir,2
"Beyrouth, Ma Ville",2
Bharat Mata,2
Blaise Pascal,2
Blowjob,2
Blue Black Permanent,2
Boogie Nights,2
Boudu Sauvé Des Eaux,2
Bound,2
Boyz N The Hood,2
Bram Stoker's Dracula,2
Bring Me The Head Of Alfredo Garcia,2
Buffalo '66,2
Bunny Lake Is Missing,2
"Buongiorno, Notte",2
Burning An Illusion,2
By The Time It Gets Dark,2
Calendar,2
Canoa,2
Carlos  Première Partie,2
Carnival Of Souls,2
Ceddo,2
César Et Rosalie,2
Ceux De Chez Nous,2
Chiedo Asilo,2
Chircales,2
Chocolat,2
Christine,2
Christmas On Earth,2
Chronicle Of A Lying Spirit By Kelly Gabron,2
Chronicle Of A Summer,2
Code Inconnu  Récit Incomplet De Divers Voyages,2
Coeur Fidele,2
Commingled Containers,2
Comrades,2
Cow,2
Crimes And Misdemeanors,2
Cristo Si È Fermato A Eboli,2
Crooklyn,2
Cruising,2
Dances With Wolves,2
Death Proof,2
Deep End,2
Deliverance,2
Denen Ni Shisu (Pastoral Hide-And-Seek),2
Detour,2
Devdas,2
Die Bleierne Zeit,2
Die Dritte Generation,2
Die Nibelungen  1 Teil: Siegfried,2
Die Tausend Augen Des Dr. Mabuse,2
Dirty Harry,2
Doctor Zhivago,2
Documenteur,2
Dodes'ka-Den,2
Dolgie Provody,2
Dolor Y Gloria,2
Donnie Darko,2
