selection_manual_fix,weighted_votes
Adebar,1
Africa Addio,1
Afrique 50,1
Agarrando Pueblo,1
Aguaespejo Granadino,1
Ahfei Zhenjuang,1
Ai No Mukidashi,1
Aido,1
Akahige,1
Akarui Mirai,1
Akibiyori,1
Al-Khoroug Lel-Nahar,1
Ali Au Pays Des Merveilles (Ali In Wonderland),1
Alice In Den Städten,1
Aliens,1
All About My Mother,1
All Night Long,1
All The President's Men,1
Älskande Par,1
America,1
Amici Miei,1
Amor Natural,1
Amor Omnia,1
Amore,1
Amores Perros,1
Amy!,1
An American Tragedy,1
An Ecstatic Experience,1
Anchorman,1
And The Ship Sails On,1
Ang Panahon Ng Halimaw,1
Anne Of The Indies,1
Annette,1
Anomalisa,1
Antichrist,1
Anticipation Of The Night,1
Aparajito,1
Aranyer Din Ratri,1
Arbeiter Verlassen Die Fabrik,1
Arnulf Rainer,1
Aruitemo Aruitemo,1
Assarab,1
At Berkeley,1
"Atlantic City, U.s.a.",1
Atlantique,1
Attica,1
Au Bonheur Des Dames,1
Au Revoir Les Enfants,1
Au Secours,1
Aurora,1
Avanti!,1
Baby I Will Make You Sweat Reel 1 And 2,1
Bachelor Mother,1
Back To The Future,1
Bambi,1
Band Of Angels,1
Bangkok Nites,1
Baraka,1
Barbara,1
Barnvagnen,1
Barque Sortant Du Port / Boat Leaving The Port,1
Basic Instinct,1
Batalla En El Cielo,1
Beau Temps Mais Orageux En Fin De Journée,1
Before Need Redressed,1
Before Sunrise,1
Before Sunset,1
Before The Rain,1
Belfast,1
Belle Épine,1
Bellissima,1
Beloved Infidel,1
Belphégor,1
Bend It Like Beckham,1
Bent Time,1
Beoning,1
Berg-Ejvind Och Hans Hustru,1
Berlin Alexanderplatz,1
Berlin Symphony Of A City,1
Beskonechnost (Infinitas),1
Big Wednesday,1
Bilder Der Welt Und Inschrift Des Krieges,1
Bildnis Einer Trinkerin,1
Billy Lynn's Long Halftime Walk,1
Bimbo's Initiation,1
Bird,1
Black,1
Black Narcissus,1
Black Widow,1
Bless Their Little Hearts,1
Blind Kind,1
Blood Of My Blood,1
Blow Out,1
Blue Black Permanent,1
Body Double,1
Body Heat,1
Bokseuneun Naeui Geos,1
"Bolivar, Sinfonia Tropical",1
"Bom, Teoreum, Gaeul, Gyeowool, Geurigo, Bom",1
Bonne Chance,1
Boogie Nights,1
Bram Stoker's Dracula,1
Branca De Neve,1
Brazil,1
Breakfast At Tiffany's,1
Bride Of Frankenstein,1
Bright Star,1
Bring Me The Head Of Alfredo Garcia,1
Brokeback Mountain,1
Broken Blossoms Or The Yellow Man And The Girl,1
Bruxelles - Transit,1
Buda As Sharm Foru Rikht,1
Buffalo '66,1
Buffalo Bill In 27 Forms,1
Bukchon Banghyang (The Day He Arrived),1
Bullet In The Head,1
Bunny Lake Is Missing,1
Butch Cassidy And The Sundance Kid,1
By The Time It Gets Dark,1
C'eravamo Tanto Amati,1
Cabiria,1
"Calamity Jane & Delphine Seyrig, A Story",1
Calendar,1
Camp De Thiaroye,1
Campanadas A Medianoche,1
Canta Delle Marane,1
Capriccio All'italiana,1
Captain Volkonogov Escaped,1
Caribs' Leap/Western Deep,1
Carlito's Way,1
Casino,1
Certain Women,1
César Et Rosalie,1
Cet Obscur Objet Du Désir,1
Charade,1
Chiang Shan Mei Jen,1
Chiedo Asilo,1
Christmas On Earth,1
Chun Jiang Shui Nuan,1
Clash By Night,1
Closely Observed Trains,1
Clouds Of Sils Maria,1
Coal Face,1
Code Inconnu  Récit Incomplet De Divers Voyages,1
Coeur Fidele,1
Coffea Arábiga,1
Cofralandes,1
Colorado Territory,1
Colour Poems,1
Commingled Containers,1
Comrades,1
Contact High,1
Conte D'été,1
Convoy,1
Corsage,1
Covek Nije Tica,1
Crazy,1
Crni Film,1
Cunegonde Reçoit Sa Famille,1
Cure,1
Cut,1
Czlowiek Z Marmuru,1
Daddy Nostalgie,1
Daibosatsu Toge,1
"Dancers, Buildings And People In The Street",1
Dandy Dust,1
Dangsin Eolgul Apeseo,1
Dangsinjasingwa Dangsinui Geot,1
Dans La Nuit,1
Das Höchste Gut Einer Frau Ist Ihr Schweigen,1
Dawson City: Frozen Time,1
Dazed And Confused,1
De Bruit Et De Fureur,1
De L'autre Côte,1
Deadlock,1
Dear Diary,1
Death Proof,1
Decasia,1
Decoy,1
Depp (The Fool),1
Der Gläserne Turm,1
Der Letzte Akt,1
Der Verlorene,1
Dersu Uzala,1
Desert Hearts,1
Después De Lucía,1
Detruire Dit-Elle,1
Deutschland Bleiche Mutter,1
Di Cavalcanti,1
Diabolik,1
Die 3-Groschen-Oper,1
Die Allseitig Reduzierte Persönlichkeit - Redupers,1
Die Bleierne Zeit,1
Die Dritte Generation,1
Die Ehe Der Maria Braun,1
Die Freudlose Gasse,1
Die Klavierspielerin,1
Die Papierene Brücke,1
Die Sehnsucht Der Veronika Voss,1
Die Verlorene Ehre Der Katharina Blum,1
Die Zweite Heimat,1
Diferente,1
Dil Se..,1
Diqiu Zuihou De Yewan,1
"Distant Voices, Still Lives",1
Divinity Gratis,1
Dni Satmenija,1
Dodes'ka-Den,1
Dolci Inganni,1
Domenica Sera,1
Don't Look Up,1
Donnie Darko,1
Donovan's Reef,1
Dont Look Back,1
Double Indemnity,1
Double Messieurs,1
Dracula,1
Drive My Car,1
Druk,1
Duel,1
Duel In The Sun,1
